M,theta,beta_lower,beta_upper
1.500000,0.000000,41.810315,90.000000
1.500000,1.000000,42.912967,88.838442
1.500000,2.000000,44.064592,87.667422
1.500000,3.000000,45.271756,86.476875
1.500000,4.000000,46.542915,85.255419
1.500000,5.000000,47.889264,83.989378
1.500000,6.000000,49.326161,82.661261
1.500000,7.000000,50.875667,81.247160
1.500000,8.000000,52.571482,79.711751
1.500000,9.000000,54.469827,77.997354
1.500000,10.000000,56.678261,75.994873
1.500000,11.000000,59.460214,73.435910
1.500000,12.000000,64.003497,68.789822
3.000000,0.000000,19.471221,90.000000
3.000000,1.000000,20.157561,89.649912
3.000000,2.000000,20.866740,89.299296
3.000000,3.000000,21.598967,88.947619
3.000000,4.000000,22.354422,88.594339
3.000000,5.000000,23.133257,88.238901
3.000000,6.000000,23.935609,87.880731
3.000000,7.000000,24.761601,87.519229
3.000000,8.000000,25.611354,87.153767
3.000000,9.000000,26.485000,86.783678
3.000000,10.000000,27.382691,86.408250
3.000000,11.000000,28.304611,86.026719
3.000000,12.000000,29.250996,85.638253
3.000000,13.000000,30.222147,85.241944
3.000000,14.000000,31.218450,84.836791
3.000000,15.000000,32.240400,84.421682
3.000000,16.000000,33.288628,83.995372
3.000000,17.000000,34.363929,83.556452
3.000000,18.000000,35.467306,83.103313
3.000000,19.000000,36.600016,82.634106
3.000000,20.000000,37.763634,82.146671
3.000000,21.000000,38.960135,81.638467
3.000000,22.000000,40.192002,81.106458
3.000000,23.000000,41.462380,80.546965
3.000000,24.000000,42.775287,79.955450
3.000000,25.000000,44.135929,79.326213
3.000000,26.000000,45.551169,78.651908
3.000000,27.000000,47.030277,77.922807
3.000000,28.000000,48.586178,77.125545
3.000000,29.000000,50.237680,76.240892
3.000000,30.000000,52.013840,75.239388
3.000000,31.000000,53.963656,74.071654
3.000000,32.000000,56.182115,72.642335
3.000000,33.000000,58.908884,70.711418
3.000000,34.000000,63.673117,66.749358
4.000000,0.000000,14.477512,90.000000
4.000000,1.000000,15.131265,89.719941
4.000000,2.000000,15.812579,89.439529
4.000000,3.000000,16.521451,89.158407
4.000000,4.000000,17.257761,88.876216
4.000000,5.000000,18.021291,88.592587
4.000000,6.000000,18.811730,88.307143
4.000000,7.000000,19.628693,88.019492
4.000000,8.000000,20.471740,87.729230
4.000000,9.000000,21.340391,87.435930
4.000000,10.000000,22.234146,87.139146
4.000000,11.000000,23.152503,86.838401
4.000000,12.000000,24.094977,86.533190
4.000000,13.000000,25.061119,86.222970
4.000000,14.000000,26.050529,85.907152
4.000000,15.000000,27.062877,85.585100
4.000000,16.000000,28.097914,85.256116
4.000000,17.000000,29.155495,84.919434
4.000000,18.000000,30.235589,84.574203
4.000000,19.000000,31.338302,84.219476
4.000000,20.000000,32.463897,83.854189
4.000000,21.000000,33.612818,83.477139
4.000000,22.000000,34.785719,83.086952
4.000000,23.000000,35.983504,82.682048
4.000000,24.000000,37.207369,82.260592
4.000000,25.000000,38.458870,81.820431
4.000000,26.000000,39.740003,81.359009
4.000000,27.000000,41.053320,80.873251
4.000000,28.000000,42.402086,80.359401
4.000000,29.000000,43.790507,79.812795
4.000000,30.000000,45.224076,79.227514
4.000000,31.000000,46.710087,78.595867
4.000000,32.000000,48.258480,77.907541
4.000000,33.000000,49.883270,77.148175
4.000000,34.000000,51.605176,76.296728
4.000000,35.000000,53.456928,75.320169
4.000000,36.000000,55.495654,74.161087
4.000000,37.000000,57.838963,72.701613
4.000000,38.000000,60.827140,70.601218
5.000000,0.000000,11.536959,90.000000
5.000000,1.000000,12.178534,89.749952
5.000000,2.000000,12.853229,89.499611
5.000000,3.000000,13.560821,89.248685
5.000000,4.000000,14.300857,88.996875
5.000000,5.000000,15.072683,88.743880
5.000000,6.000000,15.875476,88.489390
5.000000,7.000000,16.708280,88.233084
5.000000,8.000000,17.570043,87.974632
5.000000,9.000000,18.459662,87.713688
5.000000,10.000000,19.376011,87.449892
5.000000,11.000000,20.317978,87.182862
5.000000,12.000000,21.284493,86.912193
5.000000,13.000000,22.274550,86.637456
5.000000,14.000000,23.287229,86.358187
5.000000,15.000000,24.321708,86.073891
5.000000,16.000000,25.377280,85.784028
5.000000,17.000000,26.453364,85.488011
5.000000,18.000000,27.549509,85.185195
5.000000,19.000000,28.665411,84.874872
5.000000,20.000000,29.800916,84.556255
5.000000,21.000000,30.956034,84.228465
5.000000,22.000000,32.130952,83.890516
5.000000,23.000000,33.326053,83.541291
5.000000,24.000000,34.541933,83.179519
5.000000,25.000000,35.779435,82.803738
5.000000,26.000000,37.039688,82.412251
5.000000,27.000000,38.324156,82.003075
5.000000,28.000000,39.634714,81.573857
5.000000,29.000000,40.973742,81.121782
5.000000,30.000000,42.344265,80.643424
5.000000,31.000000,43.750148,80.134549
5.000000,32.000000,45.196388,79.589823
5.000000,33.000000,46.689552,79.002371
5.000000,34.000000,48.238476,78.363071
5.000000,35.000000,49.855429,77.659391
5.000000,36.000000,51.558191,76.873311
5.000000,37.000000,53.374109,75.977262
5.000000,38.000000,55.349034,74.925185
5.000000,39.000000,57.571138,73.628722
5.000000,40.000000,60.259269,71.868846
5.000000,41.000000,64.655148,68.403676
7.000000,0.000000,8.213211,90.000000
7.000000,1.000000,8.848258,89.774959
7.000000,2.000000,9.528135,89.549672
7.000000,3.000000,10.251948,89.323891
7.000000,4.000000,11.018214,89.097366
7.000000,5.000000,11.824981,88.869843
7.000000,6.000000,12.669959,88.641060
7.000000,7.000000,13.550663,88.410752
7.000000,8.000000,14.464536,88.178642
7.000000,9.000000,15.409058,87.944442
7.000000,10.000000,16.381817,87.707854
7.000000,11.000000,17.380577,87.468562
7.000000,12.000000,18.403300,87.226235
7.000000,13.000000,19.448173,86.980521
7.000000,14.000000,20.513612,86.731046
7.000000,15.000000,21.598256,86.477408
7.000000,16.000000,22.700964,86.219174
7.000000,17.000000,23.820802,85.955879
7.000000,18.000000,24.957035,85.687014
7.000000,19.000000,26.109117,85.412023
7.000000,20.000000,27.276681,85.130298
7.000000,21.000000,28.459538,84.841164
